evaluation,failure_prevented,n_maintenance_activities,id
31.4516,True,171,ST9250315AS_S2X3XHVM_0
34.5029,True,113,ST9250315AS_S2X3XJ5Y_0
32.0,True,154,ST9250315AS_S2X3XVNJ_0
31.3492,True,174,ST9250315AS_S2X4KQSS_0
41.0811,True,110,ST9250315AS_S2X4Q9YF_0
31.405,True,167,ST9250315AS_S2X67TMD_0
33.7079,True,119,ST9250315AS_S2X6AASF_0
31.7992,True,164,ST9250315AS_S2X6AC6T_0
49.2063,True,33,ST9250315AS_S2X6AD81_0
32.4074,True,147,ST9250315AS_S2X6BX15_0
43.3735,True,48,ST9250315AS_S2X6BY4G_0
28.6307,True,345,ST9250315AS_S2X6BY5N_0
31.6017,True,159,ST9250315AS_S2X6CDP8_0
35.119,True,110,ST9250315AS_S2X6CJK7_0
31.6017,True,159,ST9250315AS_S2X6CJVD_0
31.1475,True,169,ST9250315AS_S2X6CKXD_0
30.5842,True,203,ST9250315AS_S2X6CPF9_0
