evaluation,failure_prevented,n_maintenance_activities,id
52.6316,True,28,WDC WD20EFRX_WD-WCC4M0PT9JCF_0
57.1429,True,22,WDC WD20EFRX_WD-WCC4M3TTXF1Y_0
41.0526,True,57,WDC WD20EFRX_WD-WCC4M7UYXP88_0
35.8621,True,94,WDC WD20EFRX_WD-WCC4MJPUYLC7_0
36.7647,True,87,WDC WD20EFRX_WD-WCC4MKDL77ZK_0
49.2308,True,34,WDC WD20EFRX_WD-WMC4M2889366_0
33.7209,True,115,WDC WD20EFRX_WD-WMC4M2889605_0
36.2319,True,89,WDC WD20EFRX_WD-WMC4M2892089_0
37.6,True,79,WDC WD20EFRX_WD-WMC4M2932382_0
32.3944,True,145,WDC WD20EFRX_WD-WMC4M2932590_0
40.9938,True,96,WDC WD20EFRX_WD-WMC4M2932733_0
