evaluation,failure_prevented,n_maintenance_activities,id
30.7143,True,195,WDC WD800AAJS_WD-WCAV3E973409_0
57.4468,True,21,WDC WD800AAJS_WD-WCAV3E974471_0
30.3571,True,196,WDC WD800AAJS_WD-WCAV3E974559_0
30.5263,True,199,WDC WD800AAJS_WD-WMAV3J872643_0
30.605,True,196,WDC WD800AAJS_WD-WMAV3J875025_0
30.5263,True,199,WDC WD800AAJS_WD-WMAV3J876642_0
30.5263,True,199,WDC WD800AAJS_WD-WMAV3J877106_0
30.3887,True,198,WDC WD800AAJS_WD-WMAV3J877122_0
30.605,True,196,WDC WD800AAJS_WD-WMAV3J877125_0
30.7692,True,199,WDC WD800AAJS_WD-WMAV3J935541_0
30.5263,True,199,WDC WD800AAJS_WD-WMAV3J935856_0
30.605,True,196,WDC WD800AAJS_WD-WMAV3J935956_0
30.9609,True,195,WDC WD800AAJS_WD-WMAV3J935957_0
30.3887,True,198,WDC WD800AAJS_WD-WMAV3J935959_0
30.8772,True,198,WDC WD800AAJS_WD-WMAV3J935982_0
