evaluation,failure_prevented,n_maintenance_activities,id
55.8204,True,44,FD001_1_0
45.2301,True,68,FD001_2_0
57.5957,True,41,FD001_3_0
56.3999,True,43,FD001_4_0
47.6042,True,63,FD001_5_0
56.3999,True,43,FD001_6_0
47.9754,True,61,FD001_7_0
61.7746,True,34,FD001_8_0
54.6965,True,46,FD001_9_0
51.5807,True,52,FD001_10_0
50.1496,True,56,FD001_11_0
58.3926,True,39,FD001_12_0
59.7,True,37,FD001_13_0
57.5957,True,41,FD001_14_0
53.6169,True,48,FD001_15_0
54.0702,True,48,FD001_16_0
46.3672,True,65,FD001_17_0
55.2527,True,45,FD001_18_0
60.3759,True,36,FD001_19_0
50.1523,True,55,FD001_20_0
55.2527,True,45,FD001_21_0
54.1513,True,47,FD001_22_0
59.4876,True,38,FD001_23_0
62.4985,True,33,FD001_24_0
50.6196,True,54,FD001_25_0
54.6965,True,46,FD001_26_0
61.0672,True,35,FD001_27_0
60.1461,True,37,FD001_28_0
59.7,True,37,FD001_29_0
55.2527,True,45,FD001_30_0
50.1523,True,55,FD001_31_0
55.8204,True,44,FD001_32_0
54.6965,True,46,FD001_33_0
55.2527,True,45,FD001_34_0
57.5957,True,41,FD001_35_0
60.3759,True,36,FD001_36_0
58.3926,True,39,FD001_37_0
55.2527,True,45,FD001_38_0
66.3886,True,28,FD001_39_0
56.3999,True,43,FD001_40_0
52.5791,True,50,FD001_41_0
55.2527,True,45,FD001_42_0
53.6169,True,48,FD001_43_0
55.8204,True,44,FD001_44_0
60.3759,True,36,FD001_45_0
48.395,True,60,FD001_46_0
52.5791,True,50,FD001_47_0
50.6196,True,54,FD001_48_0
52.5791,True,50,FD001_49_0
54.6965,True,46,FD001_50_0
53.5469,True,49,FD001_51_0
53.5469,True,49,FD001_52_0
55.2527,True,45,FD001_53_0
48.395,True,60,FD001_54_0
55.8204,True,44,FD001_55_0
46.3672,True,65,FD001_56_0
64.7759,True,30,FD001_57_0
62.4985,True,33,FD001_58_0
50.6196,True,54,FD001_59_0
58.8433,True,39,FD001_60_0
56.9915,True,42,FD001_61_0
57.5957,True,41,FD001_62_0
57.7602,True,40,FD001_63_0
45.6029,True,67,FD001_64_0
62.2123,True,34,FD001_65_0
54.1513,True,47,FD001_66_0
43.5552,True,74,FD001_67_0
54.6965,True,46,FD001_68_0
39.577,True,87,FD001_69_0
64.7759,True,30,FD001_70_0
53.6169,True,48,FD001_71_0
53.5469,True,49,FD001_72_0
53.5469,True,49,FD001_73_0
59.0391,True,38,FD001_74_0
51.5513,True,53,FD001_75_0
53.0929,True,49,FD001_76_0
61.0672,True,35,FD001_77_0
50.6196,True,54,FD001_78_0
54.6965,True,46,FD001_79_0
56.9915,True,42,FD001_80_0
50.1496,True,56,FD001_81_0
52.5791,True,50,FD001_82_0
45.3068,True,69,FD001_83_0
47.1576,True,63,FD001_84_0
56.3999,True,43,FD001_85_0
45.9819,True,66,FD001_86_0
57.1413,True,41,FD001_87_0
53.5469,True,49,FD001_88_0
53.0336,True,50,FD001_89_0
61.0672,True,35,FD001_90_0
64.7759,True,30,FD001_91_0
41.7462,True,81,FD001_92_0
61.0672,True,35,FD001_93_0
47.9754,True,61,FD001_94_0
45.6029,True,67,FD001_95_0
41.6242,True,80,FD001_96_0
54.1513,True,47,FD001_97_0
61.0672,True,35,FD001_98_0
56.9915,True,42,FD001_99_0
54.6965,True,46,FD001_100_0
