evaluation,failure_prevented,n_maintenance_activities,id
76.3547,True,49,ST3160316AS_6VM6N840_0
77.3196,True,45,ST3160316AS_6VMWZH2A_0
95.2381,True,14,ST3160316AS_6VMX70TB_0
86.0294,True,20,ST3160316AS_9VYBP3JW_0
75.3333,False,18,ST3160316AS_9VYBPBKF_0
81.5029,False,13,ST3160316AS_9VYBT76T_0
88.5057,True,11,ST3160316AS_9VYBVW1B_0
79.8077,True,22,ST3160316AS_9VYBXRK2_0
85.2174,True,18,ST3160316AS_9VYC09XQ_0
81.9853,False,30,ST3160316AS_9VYC10JY_0
82.3009,False,1,ST3160316AS_Z2A1BBCQ_0
80.0,True,31,ST3160316AS_Z2A1FMBJ_0
