evaluation,failure_prevented,n_maintenance_activities,id
66.6667,False,0,WDC WD20EFRX_WD-WCC4M0PT9JCF_0
61.2245,False,0,WDC WD20EFRX_WD-WCC4M3TTXF1Y_0
78.9474,False,1,WDC WD20EFRX_WD-WCC4M7UYXP88_0
94.4828,True,9,WDC WD20EFRX_WD-WCC4MJPUYLC7_0
73.5294,False,17,WDC WD20EFRX_WD-WCC4MKDL77ZK_0
96.9231,True,3,WDC WD20EFRX_WD-WMC4M2889366_0
70.3488,True,52,WDC WD20EFRX_WD-WMC4M2889605_0
97.1014,True,5,WDC WD20EFRX_WD-WMC4M2892089_0
85.6,True,19,WDC WD20EFRX_WD-WMC4M2932382_0
82.1596,False,19,WDC WD20EFRX_WD-WMC4M2932590_0
83.2298,True,28,WDC WD20EFRX_WD-WMC4M2932733_0
