evaluation,failure_prevented,n_maintenance_activities,id
97.5,True,8,WDC WD800AAJS_WD-WCAV3E973409_0
100.0,True,1,WDC WD800AAJS_WD-WCAV3E974471_0
92.5,False,2,WDC WD800AAJS_WD-WCAV3E974559_0
94.386,True,17,WDC WD800AAJS_WD-WMAV3J872643_0
59.0747,False,96,WDC WD800AAJS_WD-WMAV3J875025_0
91.9298,False,4,WDC WD800AAJS_WD-WMAV3J876642_0
80.0,False,38,WDC WD800AAJS_WD-WMAV3J877106_0
80.5654,False,36,WDC WD800AAJS_WD-WMAV3J877122_0
85.0534,False,23,WDC WD800AAJS_WD-WMAV3J877125_0
90.9091,False,7,WDC WD800AAJS_WD-WMAV3J935541_0
71.9298,True,81,WDC WD800AAJS_WD-WMAV3J935856_0
86.4769,False,19,WDC WD800AAJS_WD-WMAV3J935956_0
88.968,False,12,WDC WD800AAJS_WD-WMAV3J935957_0
92.5795,True,22,WDC WD800AAJS_WD-WMAV3J935959_0
97.8947,True,7,WDC WD800AAJS_WD-WMAV3J935982_0
