evaluation,failure_prevented,n_maintenance_activities,id
94.8628,True,6,FD001_1_0
82.8333,True,22,FD001_2_0
91.5191,True,9,FD001_3_0
96.8857,True,4,FD001_4_0
83.0981,True,21,FD001_5_0
89.619,True,11,FD001_6_0
91.3292,True,11,FD001_7_0
100.0,True,1,FD001_8_0
87.9191,True,13,FD001_9_0
42.7229,False,11,FD001_10_0
86.4044,True,16,FD001_11_0
41.6074,False,4,FD001_12_0
96.6417,True,4,FD001_13_0
91.5191,True,9,FD001_14_0
87.1706,True,14,FD001_15_0
85.3415,True,16,FD001_16_0
78.2117,True,27,FD001_17_0
87.7962,True,13,FD001_18_0
97.7358,True,3,FD001_19_0
83.3841,True,19,FD001_20_0
90.8471,True,10,FD001_21_0
85.0493,True,16,FD001_22_0
93.4304,True,7,FD001_23_0
97.6562,True,3,FD001_24_0
36.3365,False,19,FD001_25_0
89.9325,True,11,FD001_26_0
98.8549,True,2,FD001_27_0
96.6788,True,4,FD001_28_0
95.5222,True,5,FD001_29_0
44.7473,False,5,FD001_30_0
84.3072,True,18,FD001_31_0
90.7531,True,10,FD001_32_0
86.9123,True,14,FD001_33_0
87.7962,True,13,FD001_34_0
90.459,True,10,FD001_35_0
96.6036,True,4,FD001_36_0
93.4304,True,7,FD001_37_0
86.7792,True,14,FD001_38_0
37.3459,False,1,FD001_39_0
92.7333,True,8,FD001_40_0
83.5479,True,18,FD001_41_0
88.8132,True,12,FD001_42_0
87.1706,True,14,FD001_43_0
92.808,True,8,FD001_44_0
95.4715,True,5,FD001_45_0
83.3814,True,20,FD001_46_0
84.5156,True,17,FD001_47_0
45.6536,False,9,FD001_48_0
91.29,True,10,FD001_49_0
86.9123,True,14,FD001_50_0
86.4512,True,15,FD001_51_0
87.4189,True,14,FD001_52_0
88.8132,True,12,FD001_53_0
81.6321,True,22,FD001_54_0
87.6708,True,13,FD001_55_0
79.0497,True,26,FD001_56_0
35.2241,False,4,FD001_57_0
97.6562,True,3,FD001_58_0
86.9561,True,15,FD001_59_0
94.5846,True,6,FD001_60_0
91.6081,True,9,FD001_61_0
91.5191,True,9,FD001_62_0
91.3354,True,9,FD001_63_0
81.8676,True,23,FD001_64_0
96.5648,True,4,FD001_65_0
88.0395,True,13,FD001_66_0
75.2571,True,33,FD001_67_0
88.9258,True,12,FD001_68_0
73.3015,True,39,FD001_69_0
98.7854,True,2,FD001_70_0
89.1444,True,12,FD001_71_0
84.5156,True,17,FD001_72_0
90.3223,True,11,FD001_73_0
95.5718,True,5,FD001_74_0
41.9268,False,13,FD001_75_0
85.3415,True,16,FD001_76_0
97.7098,True,3,FD001_77_0
88.8195,True,13,FD001_78_0
87.9191,True,13,FD001_79_0
89.5101,True,11,FD001_80_0
82.7789,True,20,FD001_81_0
86.4512,True,15,FD001_82_0
94.3698,True,8,FD001_83_0
82.1018,True,22,FD001_84_0
88.5809,True,12,FD001_85_0
83.379,True,21,FD001_86_0
92.4997,True,8,FD001_87_0
84.5156,True,17,FD001_88_0
85.6225,True,16,FD001_89_0
97.7098,True,3,FD001_90_0
38.868,False,1,FD001_91_0
72.3294,True,39,FD001_92_0
98.8549,True,2,FD001_93_0
90.4622,True,12,FD001_94_0
79.395,True,26,FD001_95_0
74.1373,True,36,FD001_96_0
89.0362,True,12,FD001_97_0
95.4197,True,5,FD001_98_0
89.5101,True,11,FD001_99_0
91.946,True,9,FD001_100_0
