evaluation,id
0.0,FD004_1_0
0.0,FD004_2_0
0.0,FD004_3_0
0.08450704225352113,FD004_4_0
0.0,FD004_5_0
0.0,FD004_6_0
0.0,FD004_7_0
0.0,FD004_8_0
0.0,FD004_9_0
0.0,FD004_10_0
0.0,FD004_11_0
0.0,FD004_12_0
0.05555555555555556,FD004_13_0
0.0,FD004_14_0
0.0,FD004_15_0
0.07692307692307691,FD004_16_0
0.0,FD004_17_0
0.0,FD004_18_0
0.0,FD004_19_0
0.0,FD004_20_0
0.0,FD004_21_0
0.0,FD004_22_0
0.0,FD004_23_0
0.2857142857142857,FD004_24_0
0.0,FD004_25_0
0.0,FD004_26_0
0.22222222222222224,FD004_27_0
0.12,FD004_28_0
0.0,FD004_29_0
0.1,FD004_30_0
0.0,FD004_31_0
0.0,FD004_32_0
0.0,FD004_33_0
0.0,FD004_34_0
0.0,FD004_35_0
0.6666666666666667,FD004_36_0
0.0,FD004_37_0
0.0,FD004_38_0
0.0,FD004_39_0
0.0,FD004_40_0
0.0,FD004_41_0
0.0,FD004_42_0
0.0,FD004_43_0
0.0,FD004_44_0
0.15,FD004_45_0
0.0,FD004_46_0
0.0,FD004_47_0
0.0,FD004_48_0
0.0,FD004_49_0
0.0,FD004_50_0
0.0,FD004_51_0
0.0,FD004_52_0
0.0,FD004_53_0
0.0,FD004_54_0
0.0,FD004_55_0
0.0,FD004_56_0
0.0,FD004_57_0
0.0,FD004_58_0
0.0,FD004_59_0
0.0,FD004_60_0
0.09090909090909091,FD004_61_0
0.0,FD004_62_0
0.0,FD004_63_0
0.0,FD004_64_0
0.0,FD004_65_0
0.0,FD004_66_0
0.0,FD004_67_0
0.34146341463414637,FD004_68_0
0.0,FD004_69_0
0.0,FD004_70_0
0.0,FD004_71_0
0.0,FD004_72_0
0.0,FD004_73_0
0.0,FD004_74_0
0.0,FD004_75_0
0.0,FD004_76_0
0.5714285714285715,FD004_77_0
0.0,FD004_78_0
0.0,FD004_79_0
0.0,FD004_80_0
0.07792207792207792,FD004_81_0
0.0,FD004_82_0
0.0,FD004_83_0
0.06557377049180328,FD004_84_0
0.0,FD004_85_0
0.0,FD004_86_0
0.0,FD004_87_0
0.0,FD004_88_0
0.0,FD004_89_0
0.0,FD004_90_0
0.0,FD004_91_0
0.0,FD004_92_0
0.0,FD004_93_0
0.0,FD004_94_0
0.0,FD004_95_0
0.0,FD004_96_0
0.0,FD004_97_0
0.0,FD004_98_0
0.17543859649122806,FD004_99_0
0.0,FD004_100_0
0.0,FD004_101_0
0.0,FD004_102_0
0.0,FD004_103_0
0.0,FD004_104_0
0.0,FD004_105_0
0.0,FD004_106_0
0.0,FD004_107_0
0.0,FD004_108_0
0.0,FD004_109_0
0.0,FD004_110_0
0.0,FD004_111_0
0.0,FD004_112_0
0.0,FD004_113_0
0.17647058823529413,FD004_114_0
0.0,FD004_115_0
0.0,FD004_116_0
0.0,FD004_117_0
0.0,FD004_118_0
0.13114754098360656,FD004_119_0
0.0,FD004_120_0
0.0,FD004_121_0
0.0,FD004_122_0
0.0,FD004_123_0
0.0,FD004_124_0
0.0,FD004_125_0
0.0,FD004_126_0
0.0,FD004_127_0
0.0,FD004_128_0
0.0,FD004_129_0
0.30303030303030304,FD004_130_0
0.0,FD004_131_0
0.0,FD004_132_0
0.0,FD004_133_0
0.0,FD004_134_0
0.0,FD004_135_0
0.0,FD004_136_0
0.0,FD004_137_0
0.0,FD004_138_0
0.0,FD004_139_0
0.0,FD004_140_0
0.0,FD004_141_0
0.0,FD004_142_0
0.0,FD004_143_0
0.18604651162790697,FD004_144_0
0.0,FD004_145_0
0.10714285714285712,FD004_146_0
0.0,FD004_147_0
0.0,FD004_148_0
0.0,FD004_149_0
0.6037735849056604,FD004_150_0
0.0,FD004_151_0
0.0,FD004_152_0
0.0,FD004_153_0
0.0,FD004_154_0
0.0,FD004_155_0
0.3157894736842105,FD004_156_0
0.04938271604938272,FD004_157_0
0.0,FD004_158_0
0.0,FD004_159_0
0.0,FD004_160_0
0.0,FD004_161_0
0.0,FD004_162_0
0.0,FD004_163_0
0.0,FD004_164_0
0.0,FD004_165_0
0.0,FD004_166_0
0.0,FD004_167_0
0.0,FD004_168_0
0.0,FD004_169_0
0.0,FD004_170_0
0.0,FD004_171_0
0.0,FD004_172_0
0.0,FD004_173_0
0.0,FD004_174_0
0.3225806451612903,FD004_175_0
0.125,FD004_176_0
0.034482758620689655,FD004_177_0
0.14285714285714288,FD004_178_0
0.0,FD004_179_0
0.0,FD004_180_0
0.6511627906976744,FD004_181_0
0.0,FD004_182_0
0.15873015873015872,FD004_183_0
0.0,FD004_184_0
0.0,FD004_185_0
0.0,FD004_186_0
0.0,FD004_187_0
0.0,FD004_188_0
0.0,FD004_189_0
0.0,FD004_190_0
0.0,FD004_191_0
0.0,FD004_192_0
0.0,FD004_193_0
0.6382978723404255,FD004_194_0
0.0,FD004_195_0
0.0,FD004_196_0
0.10714285714285712,FD004_197_0
0.0,FD004_198_0
0.0,FD004_199_0
0.0,FD004_200_0
0.0,FD004_201_0
0.0,FD004_202_0
0.0,FD004_203_0
0.17391304347826086,FD004_204_0
0.0,FD004_205_0
0.0,FD004_206_0
0.0,FD004_207_0
0.0,FD004_208_0
0.0,FD004_209_0
0.0,FD004_210_0
0.0,FD004_211_0
0.0,FD004_212_0
0.0,FD004_213_0
0.0,FD004_214_0
0.0,FD004_215_0
0.0,FD004_216_0
0.0,FD004_217_0
0.0,FD004_218_0
0.0,FD004_219_0
0.0,FD004_220_0
0.0,FD004_221_0
0.0,FD004_222_0
0.0,FD004_223_0
0.0,FD004_224_0
0.0,FD004_225_0
0.0,FD004_226_0
0.0,FD004_227_0
0.0,FD004_228_0
0.0,FD004_229_0
0.0,FD004_230_0
0.0,FD004_231_0
0.0,FD004_232_0
0.0,FD004_233_0
0.0,FD004_234_0
0.0,FD004_235_0
0.0,FD004_236_0
0.0,FD004_237_0
0.0,FD004_238_0
0.0,FD004_239_0
0.15789473684210525,FD004_240_0
0.0,FD004_241_0
0.0,FD004_242_0
0.08823529411764705,FD004_243_0
0.0,FD004_244_0
0.0,FD004_245_0
0.0,FD004_246_0
0.0,FD004_247_0
0.0,FD004_248_0
0.0,FD004_249_0
