evaluation,failure_prevented,n_maintenance_activities,id
37.0968,True,157,ST9250315AS_S2X3XHVM_0
42.6901,True,99,ST9250315AS_S2X3XJ5Y_0
38.2222,True,140,ST9250315AS_S2X3XVNJ_0
36.9048,True,160,ST9250315AS_S2X4KQSS_0
48.6486,True,96,ST9250315AS_S2X4Q9YF_0
37.1901,True,153,ST9250315AS_S2X67TMD_0
41.573,True,105,ST9250315AS_S2X6AASF_0
37.6569,True,150,ST9250315AS_S2X6AC6T_0
71.4286,True,19,ST9250315AS_S2X6AD81_0
38.4259,True,134,ST9250315AS_S2X6BX15_0
60.241,True,34,ST9250315AS_S2X6BY4G_0
31.3278,True,332,ST9250315AS_S2X6BY5N_0
37.6623,True,145,ST9250315AS_S2X6CDP8_0
42.8571,True,97,ST9250315AS_S2X6CJK7_0
37.6623,True,145,ST9250315AS_S2X6CJVD_0
36.8852,True,155,ST9250315AS_S2X6CKXD_0
35.0515,True,190,ST9250315AS_S2X6CPF9_0
