evaluation,failure_prevented,n_maintenance_activities,id
77.193,True,14,WDC WD20EFRX_WD-WCC4M0PT9JCF_0
85.7143,True,8,WDC WD20EFRX_WD-WCC4M3TTXF1Y_0
55.7895,True,43,WDC WD20EFRX_WD-WCC4M7UYXP88_0
45.5172,True,80,WDC WD20EFRX_WD-WCC4MJPUYLC7_0
47.0588,True,73,WDC WD20EFRX_WD-WCC4MKDL77ZK_0
69.2308,True,21,WDC WD20EFRX_WD-WMC4M2889366_0
41.8605,True,101,WDC WD20EFRX_WD-WMC4M2889605_0
46.3768,True,75,WDC WD20EFRX_WD-WMC4M2892089_0
48.8,True,65,WDC WD20EFRX_WD-WMC4M2932382_0
38.9671,True,131,WDC WD20EFRX_WD-WMC4M2932590_0
49.0683,True,83,WDC WD20EFRX_WD-WMC4M2932733_0
