evaluation,failure_prevented,n_maintenance_activities,id
35.7143,True,181,WDC WD800AAJS_WD-WCAV3E973409_0
87.234,True,7,WDC WD800AAJS_WD-WCAV3E974471_0
35.3571,True,182,WDC WD800AAJS_WD-WCAV3E974559_0
35.4386,True,185,WDC WD800AAJS_WD-WMAV3J872643_0
35.5872,True,182,WDC WD800AAJS_WD-WMAV3J875025_0
35.0877,True,186,WDC WD800AAJS_WD-WMAV3J876642_0
35.4386,True,185,WDC WD800AAJS_WD-WMAV3J877106_0
35.3357,True,184,WDC WD800AAJS_WD-WMAV3J877122_0
35.5872,True,182,WDC WD800AAJS_WD-WMAV3J877125_0
35.6643,True,185,WDC WD800AAJS_WD-WMAV3J935541_0
35.4386,True,185,WDC WD800AAJS_WD-WMAV3J935856_0
35.5872,True,182,WDC WD800AAJS_WD-WMAV3J935956_0
35.9431,True,181,WDC WD800AAJS_WD-WMAV3J935957_0
35.3357,True,184,WDC WD800AAJS_WD-WMAV3J935959_0
35.7895,True,184,WDC WD800AAJS_WD-WMAV3J935982_0
