evaluation,failure_prevented,n_maintenance_activities,id
60.1145,True,47,FD003_1_0
60.2929,True,46,FD003_2_0
64.8723,True,38,FD003_3_0
58.5904,True,50,FD003_4_0
66.1279,True,36,FD003_5_0
57.6166,True,52,FD003_6_0
45.3963,True,88,FD003_7_0
59.0897,True,49,FD003_8_0
46.2191,True,84,FD003_9_0
41.4903,True,103,FD003_10_0
68.4735,True,32,FD003_11_0
73.7217,True,25,FD003_12_0
70.6283,True,29,FD003_13_0
67.4331,True,34,FD003_14_0
68.1053,True,33,FD003_15_0
51.5651,True,68,FD003_16_0
54.3803,True,60,FD003_17_0
43.7489,True,94,FD003_18_0
63.6635,True,40,FD003_19_0
51.5881,True,67,FD003_20_0
65.8217,True,37,FD003_21_0
70.2045,True,30,FD003_22_0
69.4905,True,31,FD003_23_0
41.1204,True,106,FD003_24_0
69.177,True,31,FD003_25_0
62.2743,True,43,FD003_26_0
53.5521,True,62,FD003_27_0
68.7909,True,32,FD003_28_0
64.8723,True,38,FD003_29_0
65.4941,True,37,FD003_30_0
71.6773,True,28,FD003_31_0
69.8952,True,30,FD003_32_0
63.6635,True,40,FD003_33_0
42.9692,True,97,FD003_34_0
63.6635,True,40,FD003_35_0
53.1474,True,63,FD003_36_0
53.1474,True,63,FD003_37_0
67.7842,True,33,FD003_38_0
57.0259,True,54,FD003_39_0
70.9333,True,29,FD003_40_0
56.1159,True,56,FD003_41_0
69.177,True,31,FD003_42_0
52.7907,True,63,FD003_43_0
72.4372,True,27,FD003_44_0
67.4331,True,34,FD003_45_0
68.1053,True,33,FD003_46_0
58.5904,True,50,FD003_47_0
72.9232,True,26,FD003_48_0
60.6403,True,46,FD003_49_0
75.3722,True,23,FD003_50_0
70.2045,True,30,FD003_51_0
64.8723,True,38,FD003_52_0
75.6449,True,23,FD003_53_0
69.4905,True,31,FD003_54_0
39.3549,True,114,FD003_55_0
69.4905,True,31,FD003_56_0
66.1279,True,36,FD003_57_0
72.1419,True,27,FD003_58_0
55.6717,True,57,FD003_59_0
70.2045,True,30,FD003_60_0
68.7909,True,32,FD003_61_0
61.3761,True,44,FD003_62_0
63.6635,True,40,FD003_63_0
69.4905,True,31,FD003_64_0
63.0758,True,41,FD003_65_0
74.5378,True,24,FD003_66_0
59.5977,True,48,FD003_67_0
67.7842,True,33,FD003_68_0
73.7217,True,25,FD003_69_0
74.0063,True,25,FD003_70_0
45.9216,True,85,FD003_71_0
63.9989,True,40,FD003_72_0
66.1279,True,36,FD003_73_0
69.177,True,31,FD003_74_0
60.1145,True,47,FD003_75_0
77.0984,True,21,FD003_76_0
60.6403,True,46,FD003_77_0
64.8723,True,38,FD003_78_0
74.5378,True,24,FD003_79_0
78.9054,True,19,FD003_80_0
50.8422,True,69,FD003_81_0
56.6746,True,54,FD003_82_0
71.3771,True,28,FD003_83_0
64.2622,True,39,FD003_84_0
59.0897,True,49,FD003_85_0
51.2124,True,68,FD003_86_0
74.0063,True,25,FD003_87_0
53.1474,True,63,FD003_88_0
67.4331,True,34,FD003_89_0
71.3771,True,28,FD003_90_0
77.0984,True,21,FD003_91_0
76.2255,True,22,FD003_92_0
73.7217,True,25,FD003_93_0
47.4489,True,80,FD003_94_0
74.5378,True,24,FD003_95_0
41.3523,True,105,FD003_96_0
58.0994,True,51,FD003_97_0
54.804,True,59,FD003_98_0
78.9054,True,19,FD003_99_0
77.9914,True,20,FD003_100_0
