evaluation,id
0.0,WDC WD800AAJS_WD-WCAV3E973409_0
0.0,WDC WD800AAJS_WD-WCAV3E974471_0
0.0,WDC WD800AAJS_WD-WCAV3E974559_0
0.0,WDC WD800AAJS_WD-WMAV3J872643_0
0.0,WDC WD800AAJS_WD-WMAV3J875025_0
0.0,WDC WD800AAJS_WD-WMAV3J876642_0
0.0,WDC WD800AAJS_WD-WMAV3J877106_0
0.0,WDC WD800AAJS_WD-WMAV3J877122_0
0.0,WDC WD800AAJS_WD-WMAV3J877125_0
0.0,WDC WD800AAJS_WD-WMAV3J935541_0
0.0,WDC WD800AAJS_WD-WMAV3J935856_0
0.0,WDC WD800AAJS_WD-WMAV3J935956_0
0.0,WDC WD800AAJS_WD-WMAV3J935957_0
0.0,WDC WD800AAJS_WD-WMAV3J935959_0
0.0,WDC WD800AAJS_WD-WMAV3J935982_0
