evaluation,id
0.0,FD001_1_0
0.0,FD001_2_0
0.0,FD001_3_0
0.0,FD001_4_0
0.0,FD001_5_0
0.0,FD001_6_0
0.0,FD001_7_0
0.0,FD001_8_0
0.0,FD001_9_0
0.0,FD001_10_0
0.0,FD001_11_0
0.0,FD001_12_0
0.0,FD001_13_0
0.0,FD001_14_0
0.0,FD001_15_0
0.0,FD001_16_0
0.0,FD001_17_0
0.0,FD001_18_0
0.0,FD001_19_0
0.0,FD001_20_0
0.0,FD001_21_0
0.0,FD001_22_0
0.0,FD001_23_0
0.0,FD001_24_0
0.0,FD001_25_0
0.0,FD001_26_0
0.0,FD001_27_0
0.0,FD001_28_0
0.0,FD001_29_0
0.0,FD001_30_0
0.0,FD001_31_0
0.0,FD001_32_0
0.0,FD001_33_0
0.0,FD001_34_0
0.0,FD001_35_0
0.0,FD001_36_0
0.0,FD001_37_0
0.0,FD001_38_0
0.0,FD001_39_0
0.0,FD001_40_0
0.0,FD001_41_0
0.0,FD001_42_0
0.0,FD001_43_0
0.0,FD001_44_0
0.0,FD001_45_0
0.0,FD001_46_0
0.0,FD001_47_0
0.0,FD001_48_0
0.0,FD001_49_0
0.0,FD001_50_0
0.0,FD001_51_0
0.0,FD001_52_0
0.0,FD001_53_0
0.0,FD001_54_0
0.0,FD001_55_0
0.0,FD001_56_0
0.0,FD001_57_0
0.0,FD001_58_0
0.0,FD001_59_0
0.0,FD001_60_0
0.0,FD001_61_0
0.0,FD001_62_0
0.0,FD001_63_0
0.0,FD001_64_0
0.0,FD001_65_0
0.0,FD001_66_0
0.0,FD001_67_0
0.0,FD001_68_0
0.0,FD001_69_0
0.0,FD001_70_0
0.0,FD001_71_0
0.0,FD001_72_0
0.0,FD001_73_0
0.0,FD001_74_0
0.0,FD001_75_0
0.0,FD001_76_0
0.0,FD001_77_0
0.0,FD001_78_0
0.0,FD001_79_0
0.0,FD001_80_0
0.0,FD001_81_0
0.0,FD001_82_0
0.0,FD001_83_0
0.0,FD001_84_0
0.0,FD001_85_0
0.0,FD001_86_0
0.0,FD001_87_0
0.0,FD001_88_0
0.0,FD001_89_0
0.0,FD001_90_0
0.0,FD001_91_0
0.0,FD001_92_0
0.0,FD001_93_0
0.0,FD001_94_0
0.0,FD001_95_0
0.0,FD001_96_0
0.0,FD001_97_0
0.0,FD001_98_0
0.0,FD001_99_0
0.0,FD001_100_0
