evaluation,failure_prevented,n_maintenance_activities,id
42.8588,False,0,FD002_1_0
50.7057,False,9,FD002_2_0
93.0919,True,8,FD002_3_0
54.8797,False,0,FD002_4_0
40.0779,False,3,FD002_5_0
47.1445,False,0,FD002_6_0
44.4059,False,2,FD002_7_0
42.8588,False,0,FD002_8_0
49.3305,False,1,FD002_9_0
48.2534,False,0,FD002_10_0
54.086,False,5,FD002_11_0
55.1945,False,1,FD002_12_0
53.6067,False,0,FD002_13_0
49.3168,False,0,FD002_14_0
80.4554,True,21,FD002_15_0
95.4197,True,5,FD002_16_0
84.0984,True,16,FD002_17_0
85.3415,True,16,FD002_18_0
43.6583,False,1,FD002_19_0
95.4197,True,5,FD002_20_0
90.6571,True,10,FD002_21_0
100.0,True,1,FD002_22_0
51.7932,False,0,FD002_23_0
48.2893,False,1,FD002_24_0
51.3175,False,0,FD002_25_0
48.7906,False,0,FD002_26_0
47.1445,False,0,FD002_27_0
50.3373,False,0,FD002_28_0
42.8588,False,0,FD002_29_0
45.3891,False,0,FD002_30_0
56.7975,False,10,FD002_31_0
44.5067,False,18,FD002_32_0
49.8322,False,0,FD002_33_0
96.0525,True,5,FD002_34_0
49.8322,False,0,FD002_35_0
50.8323,False,0,FD002_36_0
51.7932,False,0,FD002_37_0
46.0731,False,1,FD002_38_0
52.2598,False,0,FD002_39_0
95.8903,True,5,FD002_40_0
57.5948,False,0,FD002_41_0
53.1662,False,0,FD002_42_0
43.9754,False,8,FD002_43_0
96.0525,True,5,FD002_44_0
94.2083,True,6,FD002_45_0
97.9865,True,3,FD002_46_0
55.6903,False,0,FD002_47_0
55.2887,False,0,FD002_48_0
44.8921,False,1,FD002_49_0
53.1662,False,0,FD002_50_0
60.3233,False,0,FD002_51_0
46.5721,False,0,FD002_52_0
42.1891,False,0,FD002_53_0
50.3373,False,0,FD002_54_0
97.7358,True,3,FD002_55_0
44.7778,False,0,FD002_56_0
40.8016,False,0,FD002_57_0
100.0,True,1,FD002_58_0
97.966,True,3,FD002_59_0
98.9285,True,2,FD002_60_0
52.7173,False,0,FD002_61_0
47.2044,False,1,FD002_62_0
45.9871,False,0,FD002_63_0
58.5181,False,1,FD002_64_0
88.1575,True,13,FD002_65_0
91.2406,True,9,FD002_66_0
42.1891,False,0,FD002_67_0
86.3632,True,14,FD002_68_0
100.0,True,1,FD002_69_0
98.8549,True,2,FD002_70_0
95.9321,True,5,FD002_71_0
87.7962,True,13,FD002_72_0
55.2887,False,0,FD002_73_0
44.1526,False,0,FD002_74_0
32.6097,False,23,FD002_75_0
53.8938,False,2,FD002_76_0
47.2044,False,1,FD002_77_0
43.6583,False,1,FD002_78_0
100.0,True,1,FD002_79_0
30.3807,False,24,FD002_80_0
65.945,True,43,FD002_81_0
40.2698,False,10,FD002_82_0
45.9871,False,0,FD002_83_0
57.2271,False,0,FD002_84_0
64.3389,False,0,FD002_85_0
49.3168,False,0,FD002_86_0
97.8101,True,3,FD002_87_0
65.5829,False,0,FD002_88_0
98.9619,True,2,FD002_89_0
45.6763,False,3,FD002_90_0
55.6903,False,0,FD002_91_0
98.9619,True,2,FD002_92_0
47.7525,False,1,FD002_93_0
60.4728,False,1,FD002_94_0
90.9393,True,10,FD002_95_0
42.4356,False,9,FD002_96_0
98.8281,True,2,FD002_97_0
45.3891,False,0,FD002_98_0
50.8323,False,0,FD002_99_0
51.7932,False,0,FD002_100_0
51.7932,False,0,FD002_101_0
40.9609,False,4,FD002_102_0
59.3423,False,0,FD002_103_0
36.3365,False,19,FD002_104_0
60.4728,False,1,FD002_105_0
58.3115,False,0,FD002_106_0
42.1891,False,0,FD002_107_0
43.5131,False,0,FD002_108_0
53.1662,False,0,FD002_109_0
53.1662,False,0,FD002_110_0
49.3305,False,1,FD002_111_0
65.1598,False,2,FD002_112_0
44.3091,False,11,FD002_113_0
90.0329,True,11,FD002_114_0
51.3175,False,0,FD002_115_0
90.1313,True,11,FD002_116_0
98.9285,True,2,FD002_117_0
62.8931,False,2,FD002_118_0
46.5721,False,0,FD002_119_0
38.5908,False,0,FD002_120_0
100.0,True,1,FD002_121_0
43.0085,False,5,FD002_122_0
53.6067,False,0,FD002_123_0
57.9562,False,0,FD002_124_0
97.8101,True,3,FD002_125_0
50.3373,False,0,FD002_126_0
30.6131,False,30,FD002_127_0
61.2581,False,0,FD002_128_0
50.8323,False,0,FD002_129_0
