evaluation,failure_prevented,n_maintenance_activities,id
92.803,False,0,ST3160318AS_5VML01P0_0
88.9535,False,0,ST3160318AS_5VY4ZRMA_0
82.4074,False,0,ST3160318AS_5VY50ALD_0
82.0755,False,0,ST3160318AS_5VY529VQ_0
82.243,False,0,ST3160318AS_6VMDKZS2_0
85.3403,True,29,ST3160318AS_6VMDNNG4_0
72.7586,False,60,ST3160318AS_6VY16NA1_0
36.9565,True,117,ST3160318AS_6VY9JADG_0
83.2461,True,65,ST3160318AS_6VYA6RMB_0
80.2768,True,58,ST3160318AS_9VMHY7KX_0
95.6835,True,13,ST3160318AS_9VY8TC9H_0
89.8182,True,29,ST3160318AS_9VY8TCAV_0
89.6739,False,0,ST3160318AS_9VY8TCTB_0
89.2045,False,0,ST3160318AS_9VY8VP54_0
73.8806,True,71,ST3160318AS_9VY8VP6C_0
