evaluation,failure_prevented,n_maintenance_activities,id
66.6667,False,0,WDC WD20EFRX_WD-WCC4M0PT9JCF_0
61.2245,False,0,WDC WD20EFRX_WD-WCC4M3TTXF1Y_0
63.1579,True,36,WDC WD20EFRX_WD-WCC4M7UYXP88_0
56.5517,True,64,WDC WD20EFRX_WD-WCC4MJPUYLC7_0
63.2353,False,31,WDC WD20EFRX_WD-WCC4MKDL77ZK_0
89.2308,True,8,WDC WD20EFRX_WD-WMC4M2889366_0
100.0,True,1,WDC WD20EFRX_WD-WMC4M2889605_0
62.3188,True,53,WDC WD20EFRX_WD-WMC4M2892089_0
84.8,False,0,WDC WD20EFRX_WD-WMC4M2932382_0
86.8545,True,29,WDC WD20EFRX_WD-WMC4M2932590_0
47.205,True,86,WDC WD20EFRX_WD-WMC4M2932733_0
