evaluation,failure_prevented,n_maintenance_activities,id
92.803,False,0,ST3160318AS_5VML01P0_0
88.9535,False,0,ST3160318AS_5VY4ZRMA_0
82.4074,False,0,ST3160318AS_5VY50ALD_0
82.0755,False,0,ST3160318AS_5VY529VQ_0
82.243,False,0,ST3160318AS_6VMDKZS2_0
85.8639,True,28,ST3160318AS_6VMDNNG4_0
91.7241,False,5,ST3160318AS_6VY16NA1_0
77.1739,True,43,ST3160318AS_6VY9JADG_0
85.3403,True,57,ST3160318AS_6VYA6RMB_0
96.5398,True,11,ST3160318AS_9VMHY7KX_0
99.2806,True,3,ST3160318AS_9VY8TC9H_0
77.8182,False,42,ST3160318AS_9VY8TCAV_0
89.6739,False,0,ST3160318AS_9VY8TCTB_0
97.7273,True,5,ST3160318AS_9VY8VP54_0
73.5075,False,52,ST3160318AS_9VY8VP6C_0
