evaluation,failure_prevented,n_maintenance_activities,id
93.2143,False,0,WDC WD800AAJS_WD-WCAV3E973409_0
59.5745,False,0,WDC WD800AAJS_WD-WCAV3E974471_0
93.2143,False,0,WDC WD800AAJS_WD-WCAV3E974559_0
93.3333,False,0,WDC WD800AAJS_WD-WMAV3J872643_0
93.2384,False,0,WDC WD800AAJS_WD-WMAV3J875025_0
93.3333,False,0,WDC WD800AAJS_WD-WMAV3J876642_0
100.0,True,1,WDC WD800AAJS_WD-WMAV3J877106_0
100.0,True,1,WDC WD800AAJS_WD-WMAV3J877122_0
92.8826,False,1,WDC WD800AAJS_WD-WMAV3J877125_0
73.7762,True,76,WDC WD800AAJS_WD-WMAV3J935541_0
100.0,True,1,WDC WD800AAJS_WD-WMAV3J935856_0
100.0,True,1,WDC WD800AAJS_WD-WMAV3J935956_0
100.0,True,1,WDC WD800AAJS_WD-WMAV3J935957_0
100.0,True,1,WDC WD800AAJS_WD-WMAV3J935959_0
99.6491,True,2,WDC WD800AAJS_WD-WMAV3J935982_0
