evaluation,failure_prevented,n_maintenance_activities,id
42.8588,False,0,FD002_1_0
94.0843,True,8,FD002_2_0
100.0,True,1,FD002_3_0
98.1707,True,3,FD002_4_0
100.0,True,1,FD002_5_0
96.7856,True,4,FD002_6_0
100.0,True,1,FD002_7_0
100.0,True,1,FD002_8_0
94.9663,True,6,FD002_9_0
96.853,True,4,FD002_10_0
99.1549,True,2,FD002_11_0
98.2195,True,3,FD002_12_0
100.0,True,1,FD002_13_0
98.9726,True,2,FD002_14_0
100.0,True,1,FD002_15_0
98.8549,True,2,FD002_16_0
98.9399,True,2,FD002_17_0
100.0,True,1,FD002_18_0
97.7611,True,3,FD002_19_0
98.8549,True,2,FD002_20_0
96.8857,True,4,FD002_21_0
97.9451,True,3,FD002_22_0
99.0228,True,2,FD002_23_0
97.9451,True,3,FD002_24_0
98.0263,True,3,FD002_25_0
98.9619,True,2,FD002_26_0
100.0,True,1,FD002_27_0
96.9798,True,4,FD002_28_0
100.0,True,1,FD002_29_0
100.0,True,1,FD002_30_0
92.7183,True,11,FD002_31_0
94.2306,True,8,FD002_32_0
100.0,True,1,FD002_33_0
100.0,True,1,FD002_34_0
97.966,True,3,FD002_35_0
98.0066,True,3,FD002_36_0
98.0455,True,3,FD002_37_0
98.9285,True,2,FD002_38_0
99.0322,True,2,FD002_39_0
94.8628,True,6,FD002_40_0
96.5615,True,5,FD002_41_0
94.3036,True,7,FD002_42_0
99.0228,True,2,FD002_43_0
99.0131,True,2,FD002_44_0
100.0,True,1,FD002_45_0
100.0,True,1,FD002_46_0
94.6106,True,7,FD002_47_0
98.1873,True,3,FD002_48_0
100.0,True,1,FD002_49_0
99.0506,True,2,FD002_50_0
99.1957,True,2,FD002_51_0
98.9169,True,2,FD002_52_0
100.0,True,1,FD002_53_0
93.9595,True,7,FD002_54_0
98.8679,True,2,FD002_55_0
98.8806,True,2,FD002_56_0
100.0,True,1,FD002_57_0
100.0,True,1,FD002_58_0
95.9321,True,5,FD002_59_0
95.7141,True,5,FD002_60_0
98.083,True,3,FD002_61_0
98.951,True,2,FD002_62_0
100.0,True,1,FD002_63_0
97.5274,True,4,FD002_64_0
94.0788,True,7,FD002_65_0
98.9051,True,2,FD002_66_0
100.0,True,1,FD002_67_0
98.951,True,2,FD002_68_0
100.0,True,1,FD002_69_0
